Hour,Hour_Number,Simulation_Time,Average_SoC,Active_Drivers,Total_SoC
T16,16,947.1774372175597,0.48295846896765654,2686,1297.2264476471255
T16,16,949.2313641086142,0.4828754592175654,2677,1292.6576043254227
T16,16,951.2438534049179,0.48164753192957555,2663,1282.6273775284596
T16,16,953.2595107651098,0.48055844540369025,2646,1271.5576465381644
T16,16,955.2977412462401,0.47940835862173886,2633,1262.2822082510384
T16,16,957.3115464899926,0.48183744235647313,2620,1262.4140989739597
T16,16,959.3793922796078,0.48100678747961134,2610,1255.4277153217856
T17,17,961.3950161420316,0.4821567265565399,2589,1248.3037650548818
T17,17,963.419868504857,0.48390424196961057,2569,1243.1499976199295
T17,17,965.4997690489155,0.48115858703721437,2561,1232.247141402306
T17,17,967.5188420966199,0.4810006885100002,2551,1227.0327563890105
T17,17,969.5608255482944,0.48183804893433835,2536,1221.9412920974821
T17,17,971.5745347538732,0.4820642738027674,2527,1218.1764198995932
T17,17,973.5901934942509,0.48243179848002193,2514,1212.8335413787752
T17,17,975.6177219057502,0.4838755359637919,2502,1210.6565909814074
T17,17,977.636727562636,0.48285682765023846,2488,1201.3477871937932
T17,17,979.673991752792,0.48335728042195825,2482,1199.6927700073004
T17,17,981.6817743913689,0.48329472040078697,2470,1193.7379593899439
T17,17,983.7012828056455,0.4848332939581088,2461,1193.1747364309058
T17,17,985.7109954648151,0.48477059252525967,2448,1186.7184105018357
T17,17,987.7428783668513,0.48568575014387466,2440,1185.0732303510542
T17,17,989.7688896097976,0.48320611834540383,2423,1170.8084247509134
T17,17,991.7769418877691,0.48503856883930624,2413,1170.398066609246
T17,17,993.781687836607,0.486625418884141,2403,1169.3608815785908
T17,17,995.871963207102,0.4885014775428031,2397,1170.938041670099
T17,17,997.8908408492046,0.4876247543255587,2382,1161.5221648034808
T17,17,999.8959982650028,0.48815337069039527,2370,1156.9234885362368
T17,17,1001.914962639748,0.48942089222037966,2359,1154.5438847478756
T17,17,1003.9209987154751,0.48996327037470866,2348,1150.433758839816
T17,17,1005.9617374653844,0.4903637702703203,2335,1144.9994035811978
T17,17,1007.9878695999214,0.48918310720458047,2318,1133.9264425002175
T17,17,1010.0368340966997,0.4885724944562658,2305,1126.1595997216928
T17,17,1012.0377261215328,0.4883998081887024,2293,1119.9007601766946
T17,17,1014.0445822371311,0.484850674318814,2278,1104.4898360982584
T17,17,1016.0496262236115,0.484427806937406,2256,1092.869132450788
T17,17,1018.0820461027475,0.48462386098798216,2244,1087.495944057032
T18,18,1020.1454961806935,0.4844277991083931,2241,1085.602697801909
T18,18,1022.1503120450049,0.48356803752622196,2228,1077.3895876084225
T18,18,1024.2003698718472,0.4840968817240181,2222,1075.6632711907682
T18,18,1026.2186078160971,0.4837787573225342,2217,1072.5375049840584
T18,18,1028.243419824169,0.48415131861307914,2204,1067.0695062232264
T18,18,1030.2989643406663,0.48292831490582067,2189,1057.1300813288415
T18,18,1032.3243397651559,0.4797604602254957,2166,1039.1611568484236
T18,18,1034.3495501779157,0.47995036580854217,2153,1033.3331375857913
T18,18,1036.3832717472453,0.4827387397765088,2131,1028.7162544637401
T18,18,1038.403325577704,0.4813911448512727,2116,1018.623662505293
T18,18,1040.4398959481555,0.48161820890293144,2107,1014.7695661584766
