Run,Hour,Hour_Number,Simulation_Time,Average_SoC,Active_Drivers,Total_SoC
2,T12,12,708.3007389975619,0.5011292556557789,3977,1992.9910497430326
2,T12,12,710.3131313912343,0.500789384715868,3976,1991.1385936302909
2,T12,12,712.3434039304533,0.5011745404332886,3972,1990.665274601022
2,T12,12,714.3682224755231,0.499929815050227,3970,1984.7213657494012
2,T12,12,716.403486273586,0.4998958033391608,3965,1982.0868602397725
2,T12,12,718.4072401720244,0.4992950926004309,3965,1979.7050421607087
2,T13,13,720.4081975282025,0.4992213641288023,3955,1974.4204951294132
2,T13,13,722.4545565070365,0.499656768650401,3950,1973.6442361690838
2,T13,13,724.4715604251066,0.49901205299940216,3949,1970.5985972946391
2,T13,13,726.4732545180449,0.49835412176235844,3939,1963.01688562193
2,T13,13,728.4736878002994,0.49718308398508554,3927,1952.437970809431
2,T13,13,730.4774383402664,0.4965979494478438,3916,1944.6775700377564
2,T13,13,732.4920380283846,0.49418828837204487,3903,1928.8168895160911
2,T13,13,734.5080163791865,0.4951464101599648,3895,1928.595267573063
2,T13,13,736.5254389290875,0.49660290931719286,3885,1929.3023026972942
2,T13,13,738.5397007609159,0.4983795343535363,3877,1932.2174546886604
2,T13,13,740.5499937586515,0.5009880211392088,3876,1941.8295699355733
2,T13,13,742.5565673287426,0.5016678820167075,3863,1937.9430282305411
2,T13,13,744.5785351603243,0.50145758070934,3856,1933.6204312152151
2,T13,13,746.583777023974,0.499559361763167,3849,1922.8039834264298
2,T13,13,748.5847837840498,0.4978010331611855,3842,1912.5515694052747
2,T13,13,750.5913843702305,0.49761731821676636,3830,1905.8743287702152
2,T13,13,752.6117486777914,0.49683588197096046,3820,1897.9130691290688
2,T13,13,754.7108644975231,0.4961512379343657,3819,1894.8015776713428
2,T13,13,756.7110807339195,0.49458929797967427,3810,1884.3852253025589
2,T13,13,758.7264894984862,0.4958851869289608,3809,1888.8266770124117
2,T13,13,760.7930602460152,0.4950527704843798,3801,1881.6955806111275
2,T13,13,762.803198976853,0.4943764276063975,3785,1871.2147784902145
2,T13,13,764.8695842339148,0.49442077497653864,3773,1865.4495839864803
2,T13,13,766.8721781248973,0.4952189751085932,3764,1864.0042223087448
2,T13,13,768.8897229019781,0.4942126079135565,3747,1851.8146418520962
2,T13,13,770.8958197587112,0.4929916942052003,3751,1849.2118449637062
2,T13,13,772.9612397339992,0.4948586199056153,3730,1845.8226522479451
2,T13,13,774.9638677728693,0.49480031633477994,3722,1841.646777398051
2,T13,13,776.9652066777084,0.492189844990305,3710,1826.0243249140315
2,T13,13,778.9750238281773,0.4947040165566664,3699,1829.910157243109
2,T14,14,780.9928025995463,0.4944459865583609,3693,1825.9890283600269
2,T14,14,783.003295320685,0.49287486190339147,3668,1807.8649934616399
2,T14,14,785.023222575992,0.49257163586606595,3653,1799.3641858187389
2,T14,14,787.0252877942157,0.4949626277097196,3649,1806.118628512767
2,T14,14,789.0370987585721,0.4954637285669226,3650,1808.4426092692675
2,T14,14,791.0564408528716,0.49558890826406543,3639,1803.4480371729342
2,T14,14,793.0963136394952,0.4942107201136344,3629,1793.4907032923793
2,T14,14,795.0967496041105,0.49535002136293704,3612,1789.2042771629285
2,T14,14,797.0979963038197,0.4943963289489155,3604,1781.8043695318916
2,T14,14,799.1094587943313,0.4918622265409381,3585,1763.3260821492631
2,T14,14,801.1197737472559,0.4908932567353751,3570,1752.4889265452891
2,T14,14,803.1438251551983,0.4911156995797175,3567,1751.8097004008523
2,T14,14,805.1454358935772,0.49323996070229825,3537,1744.5897410040288
2,T14,14,807.1465765426838,0.49444352182513485,3530,1745.385632042726
2,T14,14,809.1666876680077,0.49468955415858756,3519,1740.8125410840696
2,T14,14,811.1676537581502,0.49585101939263737,3518,1744.4038862232983
2,T14,14,813.1742966928098,0.497074049150035,3503,1741.2503941725727
2,T14,14,815.1760907646969,0.5000633263218867,3495,1747.721325494994
2,T14,14,817.1821166405274,0.49881888436901367,3485,1738.3838120260127
2,T14,14,819.1841141581172,0.49895875997287664,3475,1733.8816909057464
2,T14,14,821.1943653474051,0.49882188293042645,3469,1730.4131118856494
2,T14,14,823.2101457643295,0.49890204797518506,3457,1724.7043798502148
2,T14,14,825.2248502521941,0.4984005091057036,3449,1718.9833559055717
2,T14,14,827.2336547861586,0.4994316675938699,3432,1714.0494831821616
2,T14,14,829.2810115778428,0.4993518177774353,3416,1705.785809527719
2,T14,14,831.2893493006245,0.4990969172869151,3407,1700.4231971965196
2,T14,14,833.2897554371318,0.4980857920664196,3398,1692.4955214416939
2,T14,14,835.343925727258,0.49957498018559554,3396,1696.5566327102824
2,T14,14,837.3801483582672,0.4987939246834571,3379,1685.4246715054016
2,T14,14,839.3907560884529,0.49972082348287306,3376,1687.0575000781794
2,T15,15,841.4224837768912,0.5005394389069052,3357,1680.3108964104808
2,T15,15,843.4296463427847,0.49999849706087585,3343,1671.494975674508
2,T15,15,845.442263046977,0.4980374362696247,3330,1658.4646627778502
2,T15,15,847.4854010488164,0.4964394020834894,3314,1645.200178504684
2,T15,15,849.491210310161,0.4947958100173844,3302,1633.8157646774032
2,T15,15,851.4997231432778,0.49454494602032556,3290,1627.052872406871
2,T15,15,853.5057400669972,0.49492975332794603,3274,1620.4000123956953
2,T15,15,855.5519756867712,0.49417198146878955,3266,1613.9656914770667
2,T15,15,857.5548463010513,0.4941172657812761,3255,1608.3517001180537
2,T15,15,859.6138048351453,0.49309970944828907,3245,1600.108557159698
2,T15,15,861.6234586432477,0.4922401141417167,3232,1590.9200489060283
2,T15,15,863.6254416730671,0.4905078102709018,3217,1577.963625641491
2,T15,15,865.641442160594,0.49015518457201246,3207,1571.9276769224439
2,T15,15,867.6491128995867,0.4911922948327975,3202,1572.7977280546177
2,T15,15,869.6745202531587,0.4934505053701999,3186,1572.133310109457
2,T15,15,871.7103471335383,0.494349792822011,3173,1568.571892624241
2,T15,15,873.7219291735549,0.4953200757986366,3159,1564.716119447893
2,T15,15,875.7510474864155,0.49504981737180814,3153,1560.8920741733111
2,T15,15,877.7795055785939,0.49340320062791104,3133,1545.8322275672454
2,T15,15,879.8073042852259,0.49046196416284255,3119,1529.7508662239059
2,T15,15,881.8324087055881,0.48995099812995024,3114,1525.707408176665
2,T15,15,883.836934454118,0.4906556456492255,3106,1523.9764353864944
2,T15,15,885.8754477418863,0.49047847860654453,3099,1519.9928052016814
2,T15,15,887.8772371391691,0.4915358809116193,3093,1520.3204796596385
2,T15,15,889.9050409949401,0.4925813577071114,3093,1523.5541393880956
2,T15,15,891.9113253131173,0.49258433426328363,3081,1517.6523338651768
2,T15,15,893.9785747473983,0.4912504334907367,3071,1508.6300812500524
2,T15,15,896.0077179883234,0.49268745281886944,3063,1509.101667984197
2,T15,15,898.0531850262571,0.49190140647548236,3045,1497.8397827178437
2,T16,16,900.0937200583303,0.49182365929502064,3037,1493.6684532789777
2,T16,16,902.1576209811041,0.49166373336138897,3012,1480.8911648845035
2,T16,16,904.1684701379959,0.4920588851310101,2992,1472.2401843119821
2,T16,16,906.1769202876878,0.49285759428270454,2966,1461.8156246425017
2,T16,16,908.1933751165113,0.49440934359124,2953,1459.9907916249317
2,T16,16,910.2093365187466,0.4937323504173072,2937,1450.0919131756311
2,T16,16,912.2099783192988,0.4945350625890235,2919,1443.5478476973597
2,T16,16,914.2307637861824,0.4951954501898823,2901,1436.5620010008486
2,T16,16,916.313327340112,0.49466526781356635,2893,1431.0666197846474
2,T16,16,918.3771973900228,0.49249996535951834,2876,1416.4299003739748
2,T16,16,920.393036848721,0.49139404652344987,2868,1409.3181254292542
2,T16,16,922.412915127899,0.4919576663161936,2856,1405.031094999049
2,T16,16,924.4541652460731,0.491686536411555,2843,1397.8648230180509
2,T16,16,926.4766656823813,0.49150177305054055,2826,1388.9840106408276
2,T16,16,928.5333585243802,0.4898063856713374,2815,1378.8049756648147
2,T16,16,930.5791272308701,0.48771129657779944,2787,1359.251383562327
2,T16,16,932.5835929250815,0.4876363678873647,2777,1354.1661936232117
2,T16,16,934.6107889588037,0.48598864776538103,2772,1347.1605316056362
2,T16,16,936.6722258082511,0.4852238211159443,2755,1336.7916271744266
2,T16,16,938.6981745731026,0.48325226999826276,2738,1323.1447152552435
2,T16,16,940.7504388254728,0.4831009111017436,2726,1316.933083663353
2,T16,16,942.7571161959428,0.4802190057108809,2708,1300.4330674650655
2,T16,16,944.7784243323856,0.4800625055840813,2697,1294.7285775602672
2,T16,16,946.8151147771212,0.47932816803104106,2682,1285.558146659252
2,T16,16,948.8154923295848,0.4813790355595238,2672,1286.2447830150477
2,T16,16,950.8157763004191,0.48246279127561353,2658,1282.3860992105808
2,T16,16,953.0197092041955,0.4803236326140644,2643,1269.4953609989723
2,T16,16,955.1148378839591,0.48255448842535303,2636,1272.0136314892306
2,T16,16,957.1177781167918,0.4839751775448386,2624,1269.9508658776565
2,T16,16,959.1395103531765,0.48405614593183194,2612,1264.354653173945
2,T17,17,961.1515667329948,0.4847086119693569,2596,1258.3035566724504
2,T17,17,963.1577338652099,0.4852067879903347,2576,1249.892685863102
2,T17,17,965.164272283159,0.48638940874824116,2560,1245.1568863954974
2,T17,17,967.1656133625216,0.485378653111654,2548,1236.7448081284945
2,T17,17,969.1786552569924,0.48274373798446263,2534,1223.2726320526283
2,T17,17,971.1858930780328,0.47950081607716805,2511,1204.026549169769
2,T17,17,973.187711310181,0.47651345231194675,2494,1188.4245500659952
2,T17,17,975.1942670175378,0.4753231856975599,2478,1177.8508541585534
2,T17,17,977.1999157505006,0.4760566072293836,2468,1174.9077066421187
2,T17,17,979.2247702413449,0.4736259468908485,2444,1157.5418142012338
2,T17,17,981.2573958320106,0.472932480840346,2426,1147.3341985186794
2,T17,17,983.2948298734516,0.47362977891152647,2408,1140.5005076189557
2,T17,17,985.3097399153262,0.4736773687727441,2398,1135.8783303170403
2,T17,17,987.3216033319547,0.47495809162246755,2387,1133.72496470283
2,T17,17,989.3663431566457,0.4763357080967291,2374,1130.820971021635
2,T17,17,991.3929312265004,0.476263767288559,2365,1126.363809637442
2,T17,17,993.4945782430304,0.4754228735354612,2361,1122.473404417224
2,T17,17,995.5337371982241,0.4758915141062355,2353,1119.7727326919721
2,T17,17,997.5979265381895,0.4753574531375241,2340,1112.3364403418063
2,T17,17,999.600013327458,0.47419509214426664,2326,1102.9777843275642
2,T17,17,1001.6055503111625,0.4752462154728456,2310,1097.8187577422734
2,T17,17,1003.6454878440685,0.47317269525403377,2299,1087.8240263890236
2,T17,17,1005.6578925687545,0.4725300745720086,2293,1083.5114609936156
2,T17,17,1007.6958555233259,0.47319811441191884,2281,1079.3648989735868
2,T17,17,1009.7140275093922,0.4756315183310019,2274,1081.5860726846984
2,T17,17,1011.7509113871934,0.47662501002190916,2267,1080.508897719668
2,T17,17,1013.7846742153681,0.4788024598449291,2261,1082.5723617093847
2,T17,17,1015.819654903288,0.4802041830707758,2247,1079.0187993600332
2,T17,17,1017.8774310670966,0.47994491158228514,2234,1072.196932474825
2,T17,17,1019.8926803194252,0.48178726344522804,2220,1069.5677248484062
2,T18,18,1021.9202787966808,0.4839213711633924,2204,1066.5627020441168
2,T18,18,1023.9696660869182,0.4869697264796794,2192,1067.4376404434572
2,T18,18,1025.9901622162622,0.4868062685347111,2179,1060.7508591371354
2,T18,18,1028.0958223689602,0.4895683037644659,2171,1062.8527874726556
2,T18,18,1030.2196758279595,0.48820430036728785,2153,1051.1038586907707
2,T18,18,1032.234986631848,0.486811934224295,2140,1041.7775392399913
2,T18,18,1034.2455610571874,0.4868563194070885,2138,1040.8988108923552
